page,live_status,title_len,desc_len,h1_count,words,html_kb,imgs,img_noalt,inbound_content,inbound_any,ld_types,issues
about.html,200,50,147,1,2650,102,2,0,133,134,ProfessionalService/AboutPage/FAQPage/BreadcrumbList,no <main>
accessibility.html,200,34,126,1,269,61,1,0,0,134,ProfessionalService/BreadcrumbList,thin: 269 words; ORPHAN (no content inbound); no <main>
agents.html,200,54,149,1,881,76,1,0,133,134,ProfessionalService/JobPosting/FAQPage/BreadcrumbList,no <main>
agriculture-and-produce-freight-shipping.html,200,76,193,1,2748,87,1,0,8,9,ProfessionalService/FAQPage/BreadcrumbList,title 76 chars; desc 193 chars; no <main>
api.html,200,49,165,1,1227,72,1,0,2,134,ProfessionalService/BreadcrumbList,desc 165 chars; no <main>
apps.html,200,56,169,1,497,66,3,0,4,134,ProfessionalService/BreadcrumbList,desc 169 chars; no <main>
authority-dot-setup.html,200,59,151,1,1016,80,1,0,7,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
blog.html,200,48,135,1,1576,102,28,0,134,135,ProfessionalService/BreadcrumbList,1 img no w/h; heavy img: thumb-truck-dispatcher-vs-freight-broker.jpg 252KB; no <main>
boc3-ucr.html,200,60,154,1,824,74,1,0,4,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
book-truck-loads.html,200,62,142,1,2025,99,7,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 62 chars; no <main>
box-truck-dispatch.html,200,49,166,1,775,71,2,0,3,134,ProfessionalService/FAQPage/BreadcrumbList,desc 166 chars; no <main>
box-truck-freight-rates.html,200,76,224,1,1973,85,1,0,25,25,ProfessionalService/FAQPage/BreadcrumbList,title 76 chars; desc 224 chars; no <main>
brokers.html,200,77,289,1,1935,95,3,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 77 chars; desc 289 chars; no <main>
building-materials-freight-shipping.html,200,73,159,1,3099,89,1,0,10,11,ProfessionalService/FAQPage/BreadcrumbList,title 73 chars; no <main>
careers.html,200,57,191,1,1446,77,1,0,133,134,ProfessionalService/JobPosting/JobPosting/BreadcrumbList,desc 191 chars; no <main>
carrier-application.html,200,57,142,1,306,66,2,0,25,26,ProfessionalService/BreadcrumbList,no <main>
carriers.html,200,56,162,1,1174,89,4,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,desc 162 chars; heavy img: board-card-details.webp 337KB; no <main>
case-studies.html,200,43,150,1,339,64,2,0,0,134,ProfessionalService/BreadcrumbList,ORPHAN (no content inbound); no <main>
command-center.html,200,55,144,1,644,77,1,0,1,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
compliance.html,200,60,150,1,705,80,4,0,14,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
conestoga-freight-rates.html,200,76,224,1,2010,85,1,0,26,26,ProfessionalService/FAQPage/BreadcrumbList,title 76 chars; desc 224 chars; no <main>
contact.html,200,49,152,1,726,79,1,0,133,134,ProfessionalService/BreadcrumbList,no <main>
cookies.html,200,51,175,1,1245,78,1,0,4,134,ProfessionalService/FAQPage/BreadcrumbList,desc 175 chars; no <main>
cost-per-mile-calculator.html,200,79,243,1,1237,76,1,0,133,134,ProfessionalService/WebApplication/FAQPage/BreadcrumbList,title 79 chars; desc 243 chars; no <main>
create-agent-account.html,200,78,213,1,747,79,4,0,10,134,ProfessionalService/FAQPage/HowTo/BreadcrumbList,title 78 chars; desc 213 chars; no <main>
create-broker-account.html,200,77,218,1,1364,88,4,0,19,134,ProfessionalService/FAQPage/HowTo/BreadcrumbList,title 77 chars; desc 218 chars; heavy img: partner-offers.webp 341KB; no <main>
create-carrier-account.html,200,69,233,1,1032,85,4,0,13,134,ProfessionalService/FAQPage/HowTo/BreadcrumbList,title 69 chars; desc 233 chars; no <main>
create-shipper-account.html,200,66,227,1,892,82,4,0,20,134,ProfessionalService/FAQPage/HowTo/BreadcrumbList,title 66 chars; desc 227 chars; no <main>
delete-account.html,200,75,192,1,1178,79,1,0,4,134,ProfessionalService/FAQPage/BreadcrumbList,title 75 chars; desc 192 chars; no <main>
detention-pay-policy.html,200,120,247,1,1574,93,3,0,55,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 120 chars; desc 247 chars; heavy img: track-phone-pickup.webp 231KB; no <main>
do-new-authority-carriers-need-a-dispatcher.html,200,62,166,1,1270,74,2,0,1,1,ProfessionalService/Article/BreadcrumbList/FAQPage,title 62 chars; desc 166 chars; no <main>
driver-assist-policy.html,200,77,195,1,1385,90,3,0,16,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 77 chars; desc 195 chars; no <main>
dry-van-dispatch.html,200,85,215,1,767,73,2,0,5,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 85 chars; desc 215 chars; no <main>
dry-van-freight-rates.html,200,74,222,1,2167,87,1,0,29,30,ProfessionalService/FAQPage/BreadcrumbList,title 74 chars; desc 222 chars; no <main>
dry-van-rates-week-33-2026.html,200,56,144,1,1144,75,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,LD: $ Article: missing image; no <main>
emergency-rescheduling-policy.html,200,81,253,1,1803,94,3,0,10,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 81 chars; desc 253 chars; no <main>
factoring-noa.html,200,58,145,1,1001,82,4,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
faq.html,200,59,145,1,2533,102,1,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
fcfs-policy.html,200,101,345,1,1485,92,3,0,16,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 101 chars; desc 345 chars; heavy img: track-phone-pickup.webp 231KB; no <main>
features.html,200,55,152,1,3280,115,1,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
flatbed-dispatch.html,200,115,255,1,791,74,2,0,6,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 115 chars; desc 255 chars; no <main>
flatbed-freight-rates.html,200,137,264,1,2065,86,1,0,28,29,ProfessionalService/FAQPage/BreadcrumbList,title 137 chars; desc 264 chars; no <main>
flatbed-rates-week-28-2026.html,200,56,144,1,1206,75,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,LD: $ Article: missing image; no <main>
fleet-management.html,200,60,153,1,1008,82,7,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
food-and-beverage-freight-shipping.html,200,70,163,1,2822,87,1,0,9,10,ProfessionalService/FAQPage/BreadcrumbList,title 70 chars; desc 163 chars; no <main>
form-2290-hvut.html,200,56,147,1,815,75,1,0,4,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
free-load-board-for-brokers.html,200,77,209,1,2428,102,1,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 77 chars; desc 209 chars; no <main>
freight-agent-vs-freight-broker.html,200,101,200,1,1168,73,1,0,3,3,ProfessionalService/Article/BreadcrumbList/FAQPage,title 101 chars; desc 200 chars; no <main>
freight-broker-software-cost.html,200,85,238,1,2409,82,1,0,4,4,ProfessionalService/Article/BreadcrumbList/FAQPage,title 85 chars; desc 238 chars; no <main>
freight-broker-startup-checklist.html,200,61,190,1,990,72,1,0,4,4,ProfessionalService/Article/BreadcrumbList/FAQPage,title 61 chars; desc 190 chars; no <main>
freight-market-report-week-28-2026.html,200,73,160,1,1890,83,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-29-2026.html,200,73,160,1,1983,84,1,0,4,4,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-30-2026.html,200,73,160,1,2027,83,1,0,4,4,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-31-2026.html,200,73,160,1,1964,83,1,0,4,4,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-33-2026.html,200,73,160,1,1977,83,1,0,4,4,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-34-2026.html,200,73,160,1,2019,84,1,0,4,4,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-report-week-38-2026.html,200,73,160,1,1955,83,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,title 73 chars; LD: $ Article: missing image; no <main>
freight-market-reports.html,200,67,141,1,2446,86,1,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 67 chars; no <main>
freight-shipping-by-industry.html,200,66,179,1,1237,74,1,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 66 chars; desc 179 chars; no <main>
fuel-surcharge-trucking.html,200,62,217,1,3114,88,1,0,16,16,ProfessionalService/Article/BreadcrumbList/FAQPage,title 62 chars; desc 217 chars; no <main>
full-truckload-vs-ltl.html,200,60,150,1,726,70,1,0,2,2,ProfessionalService/FAQPage/BreadcrumbList,no <main>
get-started.html,200,55,151,1,1353,103,1,0,133,134,ProfessionalService/BreadcrumbList,no <main>
ghost-loads-load-board-problems.html,200,55,211,1,1718,80,2,0,14,134,ProfessionalService/Article/BreadcrumbList/FAQPage,desc 211 chars; no <main>
gps-tracking.html,200,59,153,1,1804,97,6,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,"heavy img: track-phone-pickup.webp 231KB, track-phone-map.webp 210KB; no <main>"
hotshot-dispatch.html,200,36,168,1,721,72,2,0,6,134,ProfessionalService/FAQPage/BreadcrumbList/Service,desc 168 chars; no <main>
hotshot-freight-rates.html,200,74,222,1,1968,85,1,0,25,25,ProfessionalService/FAQPage/BreadcrumbList,title 74 chars; desc 222 chars; no <main>
hotshot-rates-week-31-2026.html,200,56,144,1,1123,75,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,LD: $ Article: missing image; no <main>
how-it-works.html,200,53,154,1,1808,103,10,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
how-much-does-a-truck-dispatcher-cost.html,200,52,212,1,1517,78,1,0,12,12,ProfessionalService/Article/BreadcrumbList/FAQPage,desc 212 chars; no <main>
how-new-freight-brokers-find-carriers.html,200,85,186,1,1737,76,1,0,5,5,ProfessionalService/Article/BreadcrumbList/FAQPage,title 85 chars; desc 186 chars; no <main>
how-to-avoid-cheap-freight.html,200,54,149,1,1112,71,2,0,3,3,ProfessionalService/Article/BreadcrumbList/FAQPage,no <main>
how-to-become-a-freight-broker.html,200,93,222,1,1613,76,1,0,6,6,ProfessionalService/Article/BreadcrumbList/FAQPage,title 93 chars; desc 222 chars; no <main>
how-to-get-loads-with-new-authority.html,200,56,134,1,516,63,1,0,7,7,ProfessionalService/Article/BreadcrumbList,LD: $ Article: missing datePublished; LD: $ Article: missing image; no <main>
how-to-read-a-rate-confirmation.html,200,58,142,1,1188,72,2,0,8,134,ProfessionalService/Article/BreadcrumbList/FAQPage,heavy img: dispatcher-cost-hero.jpg 216KB; no <main>
how-to-ship-without-a-broker.html,200,56,211,1,1220,74,2,0,4,4,ProfessionalService/Article/BreadcrumbList/FAQPage,desc 211 chars; no <main>
ifta-fuel-tax.html,200,59,149,1,862,75,1,0,7,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
index.html,200,60,146,1,3223,143,3,0,1,135,ProfessionalService/FAQPage,no <main>
integrations.html,200,58,153,1,1153,83,4,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
layover-policy.html,200,128,373,1,1434,92,3,0,37,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 128 chars; desc 373 chars; no <main>
load-board-subscription-cost.html,200,56,199,1,1309,74,1,0,3,3,ProfessionalService/Article/BreadcrumbList/FAQPage,desc 199 chars; no <main>
load-board.html,200,53,145,1,3736,123,9,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,"heavy img: board-card-details.webp 337KB, board-request-countdown.webp 237KB, partner-offers.webp 341KB; no <main>"
load-score.html,200,60,132,1,1159,85,1,0,134,135,ProfessionalService/WebApplication/HowTo/FAQPage/BreadcrumbList,no <main>
local-truck-dispatch.html,200,77,225,1,1037,74,1,0,2,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 77 chars; desc 225 chars; no <main>
login.html,200,65,159,1,311,62,1,0,0,134,ProfessionalService/BreadcrumbList,title 65 chars; ORPHAN (no content inbound); no <main>
lumper-policy.html,200,119,331,1,1424,91,3,0,39,134,ProfessionalService/FAQPage/HowTo/WebPage/BreadcrumbList,title 119 chars; desc 331 chars; no <main>
manufacturing-and-industrial-freight-shipping.html,200,68,182,1,2796,87,1,0,10,11,ProfessionalService/FAQPage/BreadcrumbList,title 68 chars; desc 182 chars; no <main>
market-rates.html,200,68,177,1,1090,74,1,0,133,134,ProfessionalService/BreadcrumbList/FAQPage,title 68 chars; desc 177 chars; no <main>
metals-and-steel-freight-shipping.html,200,69,184,1,2803,87,1,0,10,11,ProfessionalService/FAQPage/BreadcrumbList,title 69 chars; desc 184 chars; no <main>
new-authority-dispatch.html,200,86,163,1,874,73,3,0,133,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 86 chars; desc 163 chars; heavy img: board-request-countdown.webp 237KB; no <main>
otr-dispatch.html,200,93,260,1,982,74,1,0,2,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 93 chars; desc 260 chars; no <main>
oversize-load-rates-per-mile.html,200,48,197,1,1933,80,1,0,6,6,ProfessionalService/Article/BreadcrumbList/FAQPage,desc 197 chars; no <main>
owner-operator-dispatch-service-guide.html,200,58,154,1,2065,82,2,0,3,3,ProfessionalService/Article/BreadcrumbList/FAQPage,no <main>
owner-operator-dispatch.html,200,79,223,1,820,73,3,0,133,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 79 chars; desc 223 chars; no <main>
partners.html,200,61,138,1,405,70,1,0,2,134,ProfessionalService/BreadcrumbList,title 61 chars; no <main>
payments-settlements.html,200,61,149,1,1454,88,6,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,title 61 chars; heavy img: pay-broker-payables-main.webp 203KB; no <main>
power-only-dispatch.html,200,100,234,1,722,72,2,0,4,134,ProfessionalService/FAQPage/BreadcrumbList/Service,title 100 chars; desc 234 chars; heavy img: power-only.webp 207KB; no <main>
power-only-freight-rates.html,200,77,225,1,1998,85,1,0,27,27,ProfessionalService/FAQPage/BreadcrumbList,title 77 chars; desc 225 chars; no <main>
power-only-rates-week-30-2026.html,200,59,147,1,1147,75,1,0,2,2,ProfessionalService/FAQPage/Article/BreadcrumbList,LD: $ Article: missing image; no <main>
power-only-rates-week-38-2026.html,200,59,147,1,1192,75,1,0,3,3,ProfessionalService/FAQPage/Article/BreadcrumbList,LD: $ Article: missing image; no <main>
pricing.html,200,59,143,1,1165,78,2,0,133,134,ProfessionalService/FAQPage/BreadcrumbList,no <main>
privacy.html,200,42,204,1,4671,108,1,0,5,134,ProfessionalService/FAQPage/BreadcrumbList,desc 204 chars; no <main>
