page,clicks,impressions,ctr,position
"https://loadboot.com/",121,643,18.82,6.2
"https://loadboot.com/market-rates.html",19,6034,0.31,28.6
"https://loadboot.com/careers",10,71,14.08,8.9
"https://loadboot.com/hotshot-freight-rates.html",7,769,0.91,8.7
"https://loadboot.com/login.html",7,248,2.82,3.9
"https://loadboot.com/apps.html",6,175,3.43,2.8
"https://loadboot.com/driver-assist-policy.html",6,307,1.95,8.6
"https://loadboot.com/step-deck-freight-rates.html",6,227,2.64,7.5
"https://loadboot.com/dry-van-freight-rates.html",5,493,1.01,11.2
"https://loadboot.com/agents.html",3,104,2.88,9.5
"https://loadboot.com/careers.html",3,161,1.86,5.1
"https://loadboot.com/how-much-does-a-truck-dispatcher-cost.html",3,644,0.47,22.2
"https://loadboot.com/market-rates",3,264,1.14,31.6
"https://loadboot.com/api.html",2,41,4.88,7.7
"https://loadboot.com/conestoga-freight-rates.html",2,72,2.78,10.0
"https://loadboot.com/contact.html",2,178,1.12,21.0
"https://loadboot.com/fcfs-policy.html",2,361,0.55,10.0
"https://loadboot.com/features.html",2,142,1.41,7.4
"https://loadboot.com/get-started.html",2,151,1.32,4.0
"https://loadboot.com/ghost-loads-load-board-problems.html",2,242,0.83,8.2
"https://loadboot.com/how-it-works.html",2,93,2.15,9.8
"https://loadboot.com/layover-policy.html",2,1445,0.14,23.5
"https://loadboot.com/oversize-load-rates-per-mile.html",2,206,0.97,9.5
"https://loadboot.com/owner-operator-dispatch.html",2,179,1.12,38.9
"https://loadboot.com/power-only-freight-rates.html",2,353,0.57,6.8
"https://loadboot.com/referral",2,13,15.38,3.3
"https://loadboot.com/terms",2,2,100.00,4.5
"https://loadboot.com/about.html",1,212,0.47,4.1
"https://loadboot.com/agriculture-and-produce-freight-shipping.html",1,32,3.13,48.3
"https://loadboot.com/box-truck-dispatch.html",1,5,20.00,8.0
"https://loadboot.com/box-truck-freight-rates.html",1,298,0.34,7.7
"https://loadboot.com/building-materials-freight-shipping.html",1,22,4.55,20.8
"https://loadboot.com/carrier-application.html",1,48,2.08,13.5
"https://loadboot.com/carriers",1,16,6.25,3.1
"https://loadboot.com/case-studies.html",1,31,3.23,15.9
"https://loadboot.com/driver-assist-policy",1,36,2.78,7.6
"https://loadboot.com/faq",1,4,25.00,6.0
"https://loadboot.com/food-and-beverage-freight-shipping.html",1,91,1.10,14.1
"https://loadboot.com/fuel-surcharge-trucking.html",1,60,1.67,9.9
"https://loadboot.com/hotshot-dispatch.html",1,95,1.05,62.2
"https://loadboot.com/integrations.html",1,71,1.41,53.0
"https://loadboot.com/load-score.html",1,43,2.33,15.3
"https://loadboot.com/login",1,8,12.50,11.1
"https://loadboot.com/metals-and-steel-freight-shipping.html",1,23,4.35,12.5
"https://loadboot.com/reefer-freight-rates.html",1,182,0.55,10.2
"https://loadboot.com/reefer-rates-week-34-2026.html",1,144,0.69,6.3
"https://loadboot.com/services",1,9,11.11,22.0
"https://loadboot.com/ship-direct-to-carrier.html",1,64,1.56,38.3
"https://loadboot.com/step-deck-rates-week-29-2026.html",1,94,1.06,6.6
"https://loadboot.com/tonu-policy.html",1,829,0.12,20.6
"https://loadboot.com/truck-dispatcher-vs-freight-broker.html",1,356,0.28,42.4
"https://loadboot.com/accessibility",0,1,0.00,20.0
"https://loadboot.com/accessibility.html",0,20,0.00,7.5
"https://loadboot.com/apps",0,11,0.00,7.2
"https://loadboot.com/authority-dot-setup",0,10,0.00,37.4
"https://loadboot.com/authority-dot-setup.html",0,175,0.00,56.9
"https://loadboot.com/blog.html",0,43,0.00,36.4
"https://loadboot.com/boc3-ucr",0,11,0.00,49.9
"https://loadboot.com/boc3-ucr.html",0,131,0.00,42.9
"https://loadboot.com/book-truck-loads.html",0,16,0.00,32.1
"https://loadboot.com/brokers",0,18,0.00,8.1
"https://loadboot.com/brokers.html",0,58,0.00,23.9
"https://loadboot.com/carrier-application",0,8,0.00,6.0
"https://loadboot.com/carriers.html",0,68,0.00,7.3
"https://loadboot.com/command-center.html",0,5,0.00,5.6
"https://loadboot.com/compliance.html",0,7,0.00,20.1
"https://loadboot.com/cookies.html",0,13,0.00,29.5
"https://loadboot.com/cost-per-mile-calculator.html",0,261,0.00,54.8
"https://loadboot.com/create-broker-account",0,6,0.00,23.3
"https://loadboot.com/create-broker-account.html",0,54,0.00,34.6
"https://loadboot.com/create-carrier-account",0,28,0.00,10.7
"https://loadboot.com/create-carrier-account.html",0,42,0.00,16.7
"https://loadboot.com/create-shipper-account",0,1,0.00,8.0
"https://loadboot.com/create-shipper-account.html",0,85,0.00,25.9
"https://loadboot.com/detention-pay-policy.html",0,602,0.00,28.7
"https://loadboot.com/do-new-authority-carriers-need-a-dispatcher",0,11,0.00,7.0
"https://loadboot.com/do-new-authority-carriers-need-a-dispatcher.html",0,9,0.00,7.0
"https://loadboot.com/dry-van-dispatch.html",0,299,0.00,59.8
"https://loadboot.com/dry-van-rates-week-33-2026.html",0,120,0.00,6.7
"https://loadboot.com/emergency-rescheduling-policy.html",0,62,0.00,10.4
"https://loadboot.com/factoring-noa",0,15,0.00,24.5
"https://loadboot.com/factoring-noa.html",0,58,0.00,43.0
"https://loadboot.com/faq.html",0,49,0.00,6.4
"https://loadboot.com/fcfs-policy",0,33,0.00,31.7
"https://loadboot.com/features",0,7,0.00,12.7
"https://loadboot.com/flatbed-dispatch.html",0,123,0.00,32.8
"https://loadboot.com/flatbed-freight-rates.html",0,1300,0.00,10.9
"https://loadboot.com/flatbed-rates-week-28-2026.html",0,71,0.00,17.8
"https://loadboot.com/fleet-management",0,6,0.00,56.0
"https://loadboot.com/fleet-management.html",0,275,0.00,17.5
"https://loadboot.com/form-2290-hvut",0,5,0.00,39.6
"https://loadboot.com/form-2290-hvut.html",0,48,0.00,55.0
"https://loadboot.com/free-load-board-for-brokers",0,4,0.00,1.3
"https://loadboot.com/freight-agent-vs-freight-broker.html",0,105,0.00,13.0
"https://loadboot.com/freight-broker-software-cost.html",0,119,0.00,21.5
"https://loadboot.com/freight-broker-startup-checklist.html",0,21,0.00,13.0
"https://loadboot.com/freight-market-report-week-28-2026.html",0,8,0.00,6.0
"https://loadboot.com/freight-market-report-week-29-2026.html",0,30,0.00,6.2
"https://loadboot.com/freight-market-report-week-30-2026.html",0,53,0.00,6.6
"https://loadboot.com/freight-market-report-week-31-2026.html",0,83,0.00,6.9
"https://loadboot.com/freight-market-report-week-33-2026.html",0,187,0.00,7.6
"https://loadboot.com/freight-market-report-week-34-2026.html",0,230,0.00,5.6
"https://loadboot.com/freight-market-reports.html",0,73,0.00,9.1
"https://loadboot.com/freight-shipping-by-industry",0,6,0.00,5.7
"https://loadboot.com/freight-shipping-by-industry.html",0,19,0.00,14.9
"https://loadboot.com/fuel-surcharge-trucking",0,31,0.00,66.5
"https://loadboot.com/ghost-loads-load-board-problems",0,7,0.00,12.3
"https://loadboot.com/gps-tracking.html",0,14,0.00,30.1
"https://loadboot.com/hotshot-rates-week-31-2026.html",0,71,0.00,8.9
"https://loadboot.com/how-it-works",0,3,0.00,1.0
"https://loadboot.com/how-much-does-a-truck-dispatcher-cost",0,7,0.00,9.3
"https://loadboot.com/how-new-freight-brokers-find-carriers.html",0,65,0.00,11.3
"https://loadboot.com/how-to-avoid-cheap-freight.html",0,5,0.00,5.0
"https://loadboot.com/how-to-become-a-freight-broker.html",0,61,0.00,12.1
"https://loadboot.com/how-to-get-loads-with-new-authority.html",0,72,0.00,33.9
"https://loadboot.com/how-to-read-a-rate-confirmation",0,41,0.00,43.0
"https://loadboot.com/how-to-read-a-rate-confirmation.html",0,29,0.00,26.0
"https://loadboot.com/how-to-ship-without-a-broker",0,5,0.00,38.4
