pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,how-much-does-a-truck-dispatcher-cost.html,2,480,0.0042,13.5
7p,2026-09-16,2026-09-23,,how-much-does-a-truck-dispatcher-cost.html,0,135,0,10.3
90p,2026-06-25,2026-09-23,,how-much-does-a-truck-dispatcher-cost.html,3,667,0.0045,21.6
90p,2026-06-25,2026-09-23,,how-much-does-a-truck-dispatcher-cost,0,7,0,9.3
28q,2026-08-26,2026-09-23,dispatch service cost,how-much-does-a-truck-dispatcher-cost.html,0,12,0,78.7
28q,2026-08-26,2026-09-23,dispatch fee,how-much-does-a-truck-dispatcher-cost.html,0,2,0,79
28q,2026-08-26,2026-09-23,dispatch services for owner operators,how-much-does-a-truck-dispatcher-cost.html,0,2,0,3
28q,2026-08-26,2026-09-23,dispatchmax pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,78
28q,2026-08-26,2026-09-23,how much do truck dispatchers make per load,how-much-does-a-truck-dispatcher-cost.html,0,2,0,36
28q,2026-08-26,2026-09-23,internet dispatcher pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,18
28q,2026-08-26,2026-09-23,t dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,52.5
28q,2026-08-26,2026-09-23,truck dispatch software pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,78.5
28q,2026-08-26,2026-09-23,digital dispatcher pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,74
28q,2026-08-26,2026-09-23,dispatch fees,how-much-does-a-truck-dispatcher-cost.html,0,1,0,76
28q,2026-08-26,2026-09-23,dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,20
28q,2026-08-26,2026-09-23,dispatcher fee,how-much-does-a-truck-dispatcher-cost.html,0,1,0,62
28q,2026-08-26,2026-09-23,dr dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,37
28q,2026-08-26,2026-09-23,i am a 35-44 year old founder in the transportation industry. my job seniority is at the owner level. i work at a com...,how-much-does-a-truck-dispatcher-cost.html,0,1,0,3
28q,2026-08-26,2026-09-23,its dispatch price,how-much-does-a-truck-dispatcher-cost.html,0,1,0,62
28q,2026-08-26,2026-09-23,total dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,68
28q,2026-08-26,2026-09-23,web dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,68
28q,2026-08-26,2026-09-23,what is a dispatch fee,how-much-does-a-truck-dispatcher-cost.html,0,1,0,69
28q,2026-08-26,2026-09-23,what is dispatch fee,how-much-does-a-truck-dispatcher-cost.html,0,1,0,73
7q,2026-09-16,2026-09-23,dispatch service cost,how-much-does-a-truck-dispatcher-cost.html,0,3,0,81
