pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,dry-van-dispatch.html,0,177,0,48.5
7p,2026-09-16,2026-09-23,,dry-van-dispatch.html,0,57,0,38.2
90p,2026-06-25,2026-09-23,,dry-van-dispatch.html,0,303,0,59.2
28q,2026-08-26,2026-09-23,dispatcher for cargo van loads,dry-van-dispatch.html,0,2,0,48
28q,2026-08-26,2026-09-23,dry van dispatch,dry-van-dispatch.html,0,22,0,58.5
28q,2026-08-26,2026-09-23,dry van dispatch service,dry-van-dispatch.html,0,21,0,61.4
28q,2026-08-26,2026-09-23,dry van dispatch services,dry-van-dispatch.html,0,48,0,65.2
28q,2026-08-26,2026-09-23,dry van dispatcher,dry-van-dispatch.html,0,37,0,28.5
28q,2026-08-26,2026-09-23,load dispatching for dry van,dry-van-dispatch.html,0,1,0,77
28q,2026-08-26,2026-09-23,van dispatch,dry-van-dispatch.html,0,3,0,31.3
7q,2026-09-16,2026-09-23,dry van dispatch,dry-van-dispatch.html,0,9,0,50.2
7q,2026-09-16,2026-09-23,dry van dispatch service,dry-van-dispatch.html,0,3,0,62.7
7q,2026-09-16,2026-09-23,dry van dispatch services,dry-van-dispatch.html,0,15,0,56.2
7q,2026-09-16,2026-09-23,dry van dispatcher,dry-van-dispatch.html,0,15,0,21.1
7q,2026-09-16,2026-09-23,van dispatch,dry-van-dispatch.html,0,2,0,29.5
90q,2026-06-25,2026-09-23,dispatcher for cargo van loads,dry-van-dispatch.html,0,2,0,48
90q,2026-06-25,2026-09-23,dispatching for dry van drivers,dry-van-dispatch.html,0,1,0,82
90q,2026-06-25,2026-09-23,dry van dispatch,dry-van-dispatch.html,0,39,0,69.8
90q,2026-06-25,2026-09-23,dry van dispatch service,dry-van-dispatch.html,0,42,0,72.6
90q,2026-06-25,2026-09-23,dry van dispatch services,dry-van-dispatch.html,0,81,0,70.8
90q,2026-06-25,2026-09-23,dry van dispatcher,dry-van-dispatch.html,0,56,0,44.7
90q,2026-06-25,2026-09-23,dry van load dispatching,dry-van-dispatch.html,0,1,0,83
90q,2026-06-25,2026-09-23,load dispatching for dry van,dry-van-dispatch.html,0,8,0,83.4
