pull,start,end,query,page,clicks,impressions,ctr,position
28 page,2026-08-26,2026-09-23,,https://loadboot.com/dry-van-freight-rates.html,7,568,0.0123,11.4
7 page,2026-09-16,2026-09-23,,https://loadboot.com/dry-van-freight-rates.html,4,191,0.0209,10.8
"28 query,page",2026-08-26,2026-09-23,dfw to baton rouge,https://loadboot.com/dry-van-freight-rates.html,1,1,1,4
"28 query,page",2026-08-26,2026-09-23,average dry van rate per mile,https://loadboot.com/dry-van-freight-rates.html,0,2,0,29.5
"28 query,page",2026-08-26,2026-09-23,average dry van rate per mile,https://loadboot.com/dry-van-rates-week-33-2026.html,0,1,0,48
"28 query,page",2026-08-26,2026-09-23,average dry van rate per mile,https://loadboot.com/market-rates.html,0,5,0,43.2
"28 query,page",2026-08-26,2026-09-23,average rate per mile dry van,https://loadboot.com/market-rates.html,0,2,0,39
"28 query,page",2026-08-26,2026-09-23,cargo van loads rates,https://loadboot.com/dry-van-freight-rates.html,0,1,0,44
"28 query,page",2026-08-26,2026-09-23,current dry van rates,https://loadboot.com/dry-van-freight-rates.html,0,2,0,45
"28 query,page",2026-08-26,2026-09-23,current dry van rates,https://loadboot.com/market-rates.html,0,15,0,21.47
"28 query,page",2026-08-26,2026-09-23,current dry van rates per mile,https://loadboot.com/market-rates.html,0,1,0,1
"28 query,page",2026-08-26,2026-09-23,dry van,https://loadboot.com/market-rates.html,0,1,0,2
"28 query,page",2026-08-26,2026-09-23,dry van average rate,https://loadboot.com/dry-van-freight-rates.html,0,1,0,58
"28 query,page",2026-08-26,2026-09-23,dry van average rate per mile,https://loadboot.com/dry-van-freight-rates.html,0,2,0,51
"28 query,page",2026-08-26,2026-09-23,dry van average rate per mile,https://loadboot.com/dry-van-rates-week-33-2026.html,0,1,0,52
"28 query,page",2026-08-26,2026-09-23,dry van average rate per mile,https://loadboot.com/market-rates.html,0,4,0,28
"28 query,page",2026-08-26,2026-09-23,dry van dispatch,https://loadboot.com/dry-van-dispatch.html,0,22,0,58.55
"28 query,page",2026-08-26,2026-09-23,dry van dispatch service,https://loadboot.com/dry-van-dispatch.html,0,21,0,61.38
"28 query,page",2026-08-26,2026-09-23,dry van dispatch services,https://loadboot.com/dry-van-dispatch.html,0,48,0,65.19
"28 query,page",2026-08-26,2026-09-23,dry van dispatcher,https://loadboot.com/dry-van-dispatch.html,0,37,0,28.54
"28 query,page",2026-08-26,2026-09-23,dry van freight,https://loadboot.com/dry-van-freight-rates.html,0,3,0,65.67
"28 query,page",2026-08-26,2026-09-23,dry van freight brokers,https://loadboot.com/dry-van-freight-rates.html,0,9,0,37.22
"28 query,page",2026-08-26,2026-09-23,dry van freight loads,https://loadboot.com/dry-van-freight-rates.html,0,4,0,46
"28 query,page",2026-08-26,2026-09-23,dry van freight rates,https://loadboot.com/dry-van-freight-rates.html,0,5,0,50.8
"28 query,page",2026-08-26,2026-09-23,dry van freight rates,https://loadboot.com/market-rates.html,0,6,0,27.83
"28 query,page",2026-08-26,2026-09-23,dry van freight rates today,https://loadboot.com/market-rates.html,0,1,0,51
"28 query,page",2026-08-26,2026-09-23,dry van freight truck,https://loadboot.com/dry-van-freight-rates.html,0,1,0,42
"28 query,page",2026-08-26,2026-09-23,dry van load,https://loadboot.com/dry-van-freight-rates.html,0,1,0,48
"28 query,page",2026-08-26,2026-09-23,dry van load rates,https://loadboot.com/dry-van-freight-rates.html,0,2,0,47
"28 query,page",2026-08-26,2026-09-23,dry van load rates,https://loadboot.com/market-rates.html,0,8,0,34.88
"28 query,page",2026-08-26,2026-09-23,dry van loads available,https://loadboot.com/dry-van-freight-rates.html,0,2,0,22
"28 query,page",2026-08-26,2026-09-23,dry van loads rates,https://loadboot.com/market-rates.html,0,3,0,66.33
"28 query,page",2026-08-26,2026-09-23,dry van market rates,https://loadboot.com/dry-van-freight-rates.html,0,1,0,56
"28 query,page",2026-08-26,2026-09-23,dry van market rates,https://loadboot.com/market-rates.html,0,7,0,28.14
"28 query,page",2026-08-26,2026-09-23,dry van national average,https://loadboot.com/dry-van-freight-rates.html,0,1,0,20
"28 query,page",2026-08-26,2026-09-23,dry van quote,https://loadboot.com/dry-van-freight-rates.html,0,1,0,7
"28 query,page",2026-08-26,2026-09-23,dry van rate,https://loadboot.com/dry-van-freight-rates.html,0,1,0,53
"28 query,page",2026-08-26,2026-09-23,dry van rate per mile,https://loadboot.com/dry-van-freight-rates.html,0,3,0,30.33
"28 query,page",2026-08-26,2026-09-23,dry van rate per mile,https://loadboot.com/market-rates.html,0,4,0,40.5
"28 query,page",2026-08-26,2026-09-23,dry van rates,https://loadboot.com/dry-van-freight-rates.html,0,5,0,52.8
"28 query,page",2026-08-26,2026-09-23,dry van rates 2024,https://loadboot.com/dry-van-freight-rates.html,0,2,0,47.5
"28 query,page",2026-08-26,2026-09-23,dry van rates 2024,https://loadboot.com/market-rates.html,0,1,0,42
"28 query,page",2026-08-26,2026-09-23,dry van rates per mile,https://loadboot.com/dry-van-freight-rates.html,0,8,0,48
"28 query,page",2026-08-26,2026-09-23,dry van rates per mile,https://loadboot.com/dry-van-rates-week-33-2026.html,0,1,0,1
"28 query,page",2026-08-26,2026-09-23,dry van rates per mile,https://loadboot.com/market-rates.html,0,21,0,30.9
"28 query,page",2026-08-26,2026-09-23,dry van rates today,https://loadboot.com/market-rates.html,0,1,0,11
"28 query,page",2026-08-26,2026-09-23,dry van shipping quotes,https://loadboot.com/dry-van-freight-rates.html,0,1,0,86
"28 query,page",2026-08-26,2026-09-23,dry van spot rates,https://loadboot.com/dry-van-freight-rates.html,0,2,0,55
"28 query,page",2026-08-26,2026-09-23,dry van spot rates,https://loadboot.com/market-rates.html,0,5,0,27.8
"28 query,page",2026-08-26,2026-09-23,dry van truckloads,https://loadboot.com/dry-van-freight-rates.html,0,8,0,31
"28 query,page",2026-08-26,2026-09-23,expedited dry van freight,https://loadboot.com/dry-van-freight-rates.html,0,1,0,55
"28 query,page",2026-08-26,2026-09-23,load dispatching for dry van,https://loadboot.com/dry-van-dispatch.html,0,1,0,77
"28 query,page",2026-08-26,2026-09-23,national dry van rate per mile,https://loadboot.com/dry-van-rates-week-33-2026.html,0,1,0,7
"28 query,page",2026-08-26,2026-09-23,national dry van rates,https://loadboot.com/dry-van-freight-rates.html,0,2,0,41
"28 query,page",2026-08-26,2026-09-23,over the road dry van freight,https://loadboot.com/dry-van-freight-rates.html,0,5,0,42.6
"28 query,page",2026-08-26,2026-09-23,owner operator,https://loadboot.com/dry-van-freight-rates.html,0,1,0,2
"28 query,page",2026-08-26,2026-09-23,spot quote,https://loadboot.com/dry-van-freight-rates.html,0,1,0,2
"28 query,page",2026-08-26,2026-09-23,van freight rates,https://loadboot.com/dry-van-freight-rates.html,0,1,0,38
"28 query,page",2026-08-26,2026-09-23,what equipment requirements do shippers list when posting dry van freight on load boards?,https://loadboot.com/freight-shipping-by-industry,0,1,0,7
"28 query,page",2026-08-26,2026-09-23,what rate per mile should i be accepting on a dry van load from chicago to atlanta based on today's spot market?,https://loadboot.com/dry-van-freight-rates.html,0,3,0,4.67
"28 query,page",2026-08-26,2026-09-23,what rate per mile should i be accepting on a dry van load from chicago to atlanta based on today's spot market?,https://loadboot.com/dry-van-rates-week-33-2026.html,0,4,0,6
