pull,window,query,page,clicks,impressions,ctr,position
28d-page,2026-08-26→2026-09-23,,hotshot-freight-rates.html,8,803,1.00%,8.7
7d-page,2026-09-16→2026-09-23,,hotshot-freight-rates.html,3,320,0.94%,7.9
90d-page,2026-06-25→2026-09-23,,hotshot-freight-rates.html,8,803,1.00%,8.7
28d-query-page,2026-08-26→2026-09-23,hotshot rates per mile 2026,hotshot-rates-week-31-2026.html,0,33,0.00%,8.2
28d-query-page,2026-08-26→2026-09-23,hotshot rates per mile 2026,hotshot-freight-rates.html,0,27,0.00%,6.9
28d-query-page,2026-08-26→2026-09-23,freight rescue hotshot service,hotshot-freight-rates.html,0,5,0.00%,35.2
28d-query-page,2026-08-26→2026-09-23,hot shot freight rates,hotshot-freight-rates.html,0,5,0.00%,14.8
28d-query-page,2026-08-26→2026-09-23,hot shot freight rates,market-rates.html,0,5,0.00%,44.2
28d-query-page,2026-08-26→2026-09-23,hotshot rates per mile 2026,market-rates.html,0,4,0.00%,7.0
28d-query-page,2026-08-26→2026-09-23,hot shot cost,hotshot-freight-rates.html,0,3,0.00%,45.7
28d-query-page,2026-08-26→2026-09-23,hot shot pay per mile,hotshot-freight-rates.html,0,2,0.00%,31.5
28d-query-page,2026-08-26→2026-09-23,hot shot rate calculator,hotshot-freight-rates.html,0,2,0.00%,25.5
28d-query-page,2026-08-26→2026-09-23,hot shot rate sheet,hotshot-freight-rates.html,0,2,0.00%,53.0
28d-query-page,2026-08-26→2026-09-23,hot shot shipping rates,hotshot-freight-rates.html,0,2,0.00%,8.0
28d-query-page,2026-08-26→2026-09-23,hotshot freight rates,market-rates.html,0,2,0.00%,44.0
28d-query-page,2026-08-26→2026-09-23,hotshot prices,hotshot-freight-rates.html,0,2,0.00%,29.5
28d-query-page,2026-08-26→2026-09-23,hotshot rates,hotshot-freight-rates.html,0,2,0.00%,36.5
28d-query-page,2026-08-26→2026-09-23,hotshot trucking in north dakota rates,hotshot-freight-rates.html,0,2,0.00%,46.0
28d-query-page,2026-08-26→2026-09-23,current hotshot rates per mile,hotshot-freight-rates.html,0,1,0.00%,7.0
28d-query-page,2026-08-26→2026-09-23,hot shot cost per mile,hotshot-freight-rates.html,0,1,0.00%,36.0
28d-query-page,2026-08-26→2026-09-23,hot shot expediting,hotshot-freight-rates.html,0,1,0.00%,3.0
28d-query-page,2026-08-26→2026-09-23,hot shot final mile,hotshot-freight-rates.html,0,1,0.00%,3.0
28d-query-page,2026-08-26→2026-09-23,hot shot load prices,hotshot-freight-rates.html,0,1,0.00%,50.0
28d-query-page,2026-08-26→2026-09-23,hot shot near me,hotshot-freight-rates.html,0,1,0.00%,3.0
28d-query-page,2026-08-26→2026-09-23,hot shot price,hotshot-freight-rates.html,0,1,0.00%,2.0
28d-query-page,2026-08-26→2026-09-23,hot shot prices per mile,hotshot-freight-rates.html,0,1,0.00%,40.0
28d-query-page,2026-08-26→2026-09-23,hot shot pricing,hotshot-freight-rates.html,0,1,0.00%,9.0
28d-query-page,2026-08-26→2026-09-23,hot shot rate calculator,market-rates.html,0,1,0.00%,79.0
28d-query-page,2026-08-26→2026-09-23,hot shot rate sheet,hotshot-rates-week-31-2026.html,0,1,0.00%,75.0
28d-query-page,2026-08-26→2026-09-23,hot shot trucking bidding websites,hotshot-freight-rates.html,0,1,0.00%,5.0
28d-query-page,2026-08-26→2026-09-23,hot shot trucking pay per load,hotshot-freight-rates.html,0,1,0.00%,42.0
28d-query-page,2026-08-26→2026-09-23,hot shot trucking rates,hotshot-freight-rates.html,0,1,0.00%,48.0
28d-query-page,2026-08-26→2026-09-23,hot shot trucking rates per mile,hotshot-freight-rates.html,0,1,0.00%,35.0
28d-query-page,2026-08-26→2026-09-23,hotshot car hauling rates,hotshot-freight-rates.html,0,1,0.00%,32.0
28d-query-page,2026-08-26→2026-09-23,hotshot factoring company checklist,freight-broker-startup-checklist.html,0,1,0.00%,94.0
28d-query-page,2026-08-26→2026-09-23,hotshot freight rates,hotshot-freight-rates.html,0,1,0.00%,24.0
28d-query-page,2026-08-26→2026-09-23,hotshot price,hotshot-freight-rates.html,0,1,0.00%,12.0
28d-query-page,2026-08-26→2026-09-23,hotshot price per mile,hotshot-freight-rates.html,0,1,0.00%,27.0
28d-query-page,2026-08-26→2026-09-23,hotshot pricing,hotshot-freight-rates.html,0,1,0.00%,39.0
28d-query-page,2026-08-26→2026-09-23,hotshot rates houston,hotshot-freight-rates.html,0,1,0.00%,46.0
28d-query-page,2026-08-26→2026-09-23,hotshot trucking prices,hotshot-freight-rates.html,0,1,0.00%,42.0
28d-query-page,2026-08-26→2026-09-23,hotshot trucking rates,hotshot-freight-rates.html,0,1,0.00%,43.0
