pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,how-to-get-loads-with-new-authority.html,0,22,0,14.1
90p,2026-06-25,2026-09-23,,how-to-get-loads-with-new-authority.html,0,72,0,33.9
7qp,2026-09-16,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
28qp,2026-08-26,2026-09-23,how to get loads with new authority,how-to-get-loads-with-new-authority.html,0,2,0,32.5
28qp,2026-08-26,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
90qp,2026-06-25,2026-09-23,brokers that work with new authority,how-to-get-loads-with-new-authority.html,0,1,0,67
90qp,2026-06-25,2026-09-23,brokers who work with new authority,how-to-get-loads-with-new-authority.html,0,3,0,49.3
90qp,2026-06-25,2026-09-23,how to get loads from brokers,how-to-get-loads-with-new-authority.html,0,2,0,56
90qp,2026-06-25,2026-09-23,how to get loads with new authority,how-to-get-loads-with-new-authority.html,0,14,0,39.1
90qp,2026-06-25,2026-09-23,load boards for new authority,how-to-get-loads-with-new-authority.html,0,4,0,61.5
90qp,2026-06-25,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
