window,dims,query,page,clicks,impressions,ctr,position
28d 2026-08-26..2026-09-23,page,,https://loadboot.com/market-rates.html,16,4177,0.0038,21.3
7d 2026-09-16..2026-09-23,page,,https://loadboot.com/market-rates.html,4,1067,0.0037,20.6
90d 2026-06-25..2026-09-23,page,,https://loadboot.com/market-rates.html,20,6170,0.0032,28.4
28d 2026-08-26..2026-09-23,"query,page",truckload freight rates,https://loadboot.com/market-rates.html,0,60,0,21.8
28d 2026-08-26..2026-09-23,"query,page",full truckload rates,https://loadboot.com/market-rates.html,0,48,0,46.0
28d 2026-08-26..2026-09-23,"query,page",truckload rates,https://loadboot.com/market-rates.html,0,39,0,34.3
28d 2026-08-26..2026-09-23,"query,page",freight lane rates,https://loadboot.com/market-rates.html,0,38,0,45.8
28d 2026-08-26..2026-09-23,"query,page",flatbed cost per mile,https://loadboot.com/market-rates.html,0,34,0,34.3
28d 2026-08-26..2026-09-23,"query,page",current freight rates,https://loadboot.com/market-rates.html,0,33,0,27.2
28d 2026-08-26..2026-09-23,"query,page",flatbed trucking rates per mile,https://loadboot.com/market-rates.html,0,32,0,34.4
28d 2026-08-26..2026-09-23,"query,page",trucking rates,https://loadboot.com/market-rates.html,0,32,0,29.3
28d 2026-08-26..2026-09-23,"query,page",average flatbed trucking rates,https://loadboot.com/market-rates.html,0,30,0,41.3
28d 2026-08-26..2026-09-23,"query,page",freight rates trucking today,https://loadboot.com/market-rates.html,0,30,0,33.5
28d 2026-08-26..2026-09-23,"query,page",average flatbed rate per mile,https://loadboot.com/market-rates.html,0,29,0,40.2
28d 2026-08-26..2026-09-23,"query,page",freight rates for trucking,https://loadboot.com/market-rates.html,0,28,0,46.1
28d 2026-08-26..2026-09-23,"query,page",truckload rate,https://loadboot.com/market-rates.html,0,28,0,36.8
28d 2026-08-26..2026-09-23,"query,page",truckload spot rates,https://loadboot.com/market-rates.html,0,25,0,23.7
28d 2026-08-26..2026-09-23,"query,page",current flatbed rates per mile,https://loadboot.com/market-rates.html,0,24,0,34.2
28d 2026-08-26..2026-09-23,"query,page",truck freight rates in,https://loadboot.com/market-rates.html,0,24,0,48.6
28d 2026-08-26..2026-09-23,"query,page",trucking freight rates,https://loadboot.com/market-rates.html,0,24,0,45.0
28d 2026-08-26..2026-09-23,"query,page",short haul trucking rates,https://loadboot.com/market-rates.html,0,23,0,45.4
28d 2026-08-26..2026-09-23,"query,page",dry van rates per mile,https://loadboot.com/market-rates.html,0,21,0,30.9
28d 2026-08-26..2026-09-23,"query,page",flatbed truck freight rates,https://loadboot.com/market-rates.html,0,21,0,48.8
28d 2026-08-26..2026-09-23,"query,page",power only trucking rates,https://loadboot.com/market-rates.html,0,21,0,36.6
28d 2026-08-26..2026-09-23,"query,page",truck loads rates,https://loadboot.com/market-rates.html,0,21,0,29.7
28d 2026-08-26..2026-09-23,"query,page",flatbed truck rates,https://loadboot.com/market-rates.html,0,20,0,49.4
28d 2026-08-26..2026-09-23,"query,page",reefer rates,https://loadboot.com/market-rates.html,0,19,0,42.7
28d 2026-08-26..2026-09-23,"query,page",spot market freight rates,https://loadboot.com/market-rates.html,0,19,0,74.9
28d 2026-08-26..2026-09-23,"query,page",flatbed load rates,https://loadboot.com/market-rates.html,0,18,0,47.7
28d 2026-08-26..2026-09-23,"query,page",flatbed loads rates,https://loadboot.com/market-rates.html,0,18,0,45.2
28d 2026-08-26..2026-09-23,"query,page",flatbed spot rates,https://loadboot.com/market-rates.html,0,18,0,33.4
28d 2026-08-26..2026-09-23,"query,page",freight rates today,https://loadboot.com/market-rates.html,0,18,0,34.6
28d 2026-08-26..2026-09-23,"query,page",flatbed trucking rates,https://loadboot.com/market-rates.html,0,17,0,43.3
28d 2026-08-26..2026-09-23,"query,page",spot market rates,https://loadboot.com/market-rates.html,0,16,0,46.1
28d 2026-08-26..2026-09-23,"query,page",current dry van rates,https://loadboot.com/market-rates.html,0,15,0,21.5
28d 2026-08-26..2026-09-23,"query,page",average trucking rate per mile,https://loadboot.com/market-rates.html,0,14,0,53.2
28d 2026-08-26..2026-09-23,"query,page",current freight rates per mile,https://loadboot.com/market-rates.html,0,14,0,25.9
28d 2026-08-26..2026-09-23,"query,page",freight rate per mile,https://loadboot.com/market-rates.html,0,14,0,46.4
28d 2026-08-26..2026-09-23,"query,page",truck load rates,https://loadboot.com/market-rates.html,0,13,0,37.8
28d 2026-08-26..2026-09-23,"query,page",flatbed rate per mile,https://loadboot.com/market-rates.html,0,12,0,40.8
28d 2026-08-26..2026-09-23,"query,page",truck freight rates,https://loadboot.com/market-rates.html,0,12,0,45.2
28d 2026-08-26..2026-09-23,"query,page",trucking prices,https://loadboot.com/market-rates.html,0,12,0,39
28d 2026-08-26..2026-09-23,"query,page",freight market rates,https://loadboot.com/market-rates.html,0,11,0,37.5
28d 2026-08-26..2026-09-23,"query,page",freight spot rates,https://loadboot.com/market-rates.html,0,11,0,70.5
28d 2026-08-26..2026-09-23,"query,page",trucking spot rates,https://loadboot.com/market-rates.html,0,11,0,77.8
28d 2026-08-26..2026-09-23,"query,page",current freight rates for trucking,https://loadboot.com/market-rates.html,0,10,0,36
28d 2026-08-26..2026-09-23,"query,page",freight rates trucking,https://loadboot.com/market-rates.html,0,10,0,50.7
28d 2026-08-26..2026-09-23,"query,page",full truck freight rates,https://loadboot.com/market-rates.html,0,10,0,44.8
28d 2026-08-26..2026-09-23,"query,page",truck freight rates per mile,https://loadboot.com/market-rates.html,0,10,0,42.7
28d 2026-08-26..2026-09-23,"query,page",truck lines freight rates,https://loadboot.com/market-rates.html,0,10,0,41.8
28d 2026-08-26..2026-09-23,"query,page",flatbed freight rates,https://loadboot.com/market-rates.html,0,9,0,41.3
28d 2026-08-26..2026-09-23,"query,page",flatbed rates per mile,https://loadboot.com/market-rates.html,0,9,0,41.8
28d 2026-08-26..2026-09-23,"query,page",freight rates this week,https://loadboot.com/market-rates.html,0,9,0,29.6
28d 2026-08-26..2026-09-23,"query,page",reefer full truckload rate,https://loadboot.com/market-rates.html,0,9,0,37.6
28d 2026-08-26..2026-09-23,"query,page",average freight rate per mile,https://loadboot.com/market-rates.html,0,8,0,49.4
28d 2026-08-26..2026-09-23,"query,page",current flatbed freight rates,https://loadboot.com/market-rates.html,0,8,0,31.6
28d 2026-08-26..2026-09-23,"query,page",current trucking rates,https://loadboot.com/market-rates.html,0,8,0,22.6
28d 2026-08-26..2026-09-23,"query,page",dry van load rates,https://loadboot.com/market-rates.html,0,8,0,34.9
28d 2026-08-26..2026-09-23,"query,page",freight rates by state,https://loadboot.com/market-rates.html,0,8,0,35.5
28d 2026-08-26..2026-09-23,"query,page",average freight rates,https://loadboot.com/market-rates.html,0,7,0,42
28d 2026-08-26..2026-09-23,"query,page",average truckload rate per mile,https://loadboot.com/market-rates.html,0,7,0,51.1
28d 2026-08-26..2026-09-23,"query,page",current flatbed rates,https://loadboot.com/market-rates.html,0,7,0,38.9
28d 2026-08-26..2026-09-23,"query,page",dry van market rates,https://loadboot.com/market-rates.html,0,7,0,28.1
28d 2026-08-26..2026-09-23,"query,page",flatbed rate,https://loadboot.com/market-rates.html,0,7,0,41.4
28d 2026-08-26..2026-09-23,"query,page",freight rates per mile,https://loadboot.com/market-rates.html,0,7,0,32.3
28d 2026-08-26..2026-09-23,"query,page",is there a free tool that shows current average spot rates by lane so i can benchmark what a broker is offering me?,https://loadboot.com/market-rates.html,0,7,0,10.3
28d 2026-08-26..2026-09-23,"query,page",rate per mile trucking,https://loadboot.com/market-rates.html,0,7,0,53.1
28d 2026-08-26..2026-09-23,"query,page",truck spot rates,https://loadboot.com/market-rates.html,0,7,0,26.1
28d 2026-08-26..2026-09-23,"query,page",trucking rates per mile,https://loadboot.com/market-rates.html,0,7,0,60.3
28d 2026-08-26..2026-09-23,"query,page",truckload pricing,https://loadboot.com/market-rates.html,0,7,0,37
28d 2026-08-26..2026-09-23,"query,page",average reefer rates,https://loadboot.com/market-rates.html,0,6,0,41.3
28d 2026-08-26..2026-09-23,"query,page",dry van freight rates,https://loadboot.com/market-rates.html,0,6,0,27.8
28d 2026-08-26..2026-09-23,"query,page",flatbed truck rates per mile,https://loadboot.com/market-rates.html,0,6,0,28.2
28d 2026-08-26..2026-09-23,"query,page",hopper bottom freight rates,https://loadboot.com/market-rates.html,0,6,0,33.2
28d 2026-08-26..2026-09-23,"query,page",rates for truck loads,https://loadboot.com/market-rates.html,0,6,0,40.7
28d 2026-08-26..2026-09-23,"query,page",reefer freight rates,https://loadboot.com/market-rates.html,0,6,0,33.8
28d 2026-08-26..2026-09-23,"query,page",reefer freight rates per mile,https://loadboot.com/market-rates.html,0,6,0,41.7
28d 2026-08-26..2026-09-23,"query,page",spot rates trucking,https://loadboot.com/market-rates.html,0,6,0,68
28d 2026-08-26..2026-09-23,"query,page",truck rates,https://loadboot.com/market-rates.html,0,6,0,34
28d 2026-08-26..2026-09-23,"query,page",average dry van rate per mile,https://loadboot.com/market-rates.html,0,5,0,43.2
28d 2026-08-26..2026-09-23,"query,page",current trucking rates per mile,https://loadboot.com/market-rates.html,0,5,0,26.6
28d 2026-08-26..2026-09-23,"query,page",current truckload rates,https://loadboot.com/market-rates.html,0,5,0,16.8
28d 2026-08-26..2026-09-23,"query,page",dry van spot rates,https://loadboot.com/market-rates.html,0,5,0,27.8
28d 2026-08-26..2026-09-23,"query,page",flatbed freight rates per mile,https://loadboot.com/market-rates.html,0,5,0,41.2
28d 2026-08-26..2026-09-23,"query,page",freight trucking rates,https://loadboot.com/market-rates.html,0,5,0,46.4
