pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,authority-dot-setup.html,0,71,0,45.4
28p,2026-08-26,2026-09-23,,new-authority-dispatch.html,0,55,0,7.5
28p,2026-08-26,2026-09-23,,boc3-ucr.html,0,54,0,24.9
28p,2026-08-26,2026-09-23,,us-truck-dispatcher.html,0,37,0,20.9
28p,2026-08-26,2026-09-23,,how-to-get-loads-with-new-authority.html,0,22,0,14.1
28p,2026-08-26,2026-09-23,,do-new-authority-carriers-need-a-dispatcher.html,0,6,0,6.8
28p,2026-08-26,2026-09-23,,new-authority-dispatch,0,6,0,2.2
28qp,2026-08-26,2026-09-23,trucking authority packages,authority-dot-setup.html,0,17,0,72.9
28qp,2026-08-26,2026-09-23,usdot and mc number setup,authority-dot-setup.html,0,10,0,51.4
28qp,2026-08-26,2026-09-23,interstate authority packages,authority-dot-setup.html,0,5,0,90
28qp,2026-08-26,2026-09-23,dispatch service cost,us-truck-dispatcher.html,0,4,0,93.5
28qp,2026-08-26,2026-09-23,trucking authority package,authority-dot-setup.html,0,4,0,64
28qp,2026-08-26,2026-09-23,usa truck carrier setup,authority-dot-setup.html,0,4,0,65.5
28qp,2026-08-26,2026-09-23,boc 3 registration,boc3-ucr.html,0,2,0,87.5
28qp,2026-08-26,2026-09-23,how to get loads with new authority,how-to-get-loads-with-new-authority.html,0,2,0,32.5
28qp,2026-08-26,2026-09-23,loadboot,new-authority-dispatch,0,2,0,1
28qp,2026-08-26,2026-09-23,boc 3 filing,boc3-ucr.html,0,1,0,64
28qp,2026-08-26,2026-09-23,boc 3 online,boc3-ucr.html,0,1,0,77
28qp,2026-08-26,2026-09-23,boc-3 $25,boc3-ucr.html,0,1,0,82
28qp,2026-08-26,2026-09-23,boc-3 filing,boc3-ucr.html,0,1,0,68
28qp,2026-08-26,2026-09-23,how often do you file boc-3,boc3-ucr.html,0,1,0,96
28qp,2026-08-26,2026-09-23,load dispatch,new-authority-dispatch.html,0,1,0,42
28qp,2026-08-26,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
28qp,2026-08-26,2026-09-23,quickbooks,us-truck-dispatcher.html,0,1,0,7
28qp,2026-08-26,2026-09-23,trucking authority packages usa,authority-dot-setup.html,0,1,0,59
7p,2026-09-16,2026-09-23,,new-authority-dispatch.html,0,24,0,7
7p,2026-09-16,2026-09-23,,authority-dot-setup.html,0,16,0,26.7
7p,2026-09-16,2026-09-23,,boc3-ucr.html,0,16,0,13.2
7p,2026-09-16,2026-09-23,,us-truck-dispatcher.html,0,14,0,5.7
7p,2026-09-16,2026-09-23,,how-to-get-loads-with-new-authority.html,0,7,0,7.6
7qp,2026-09-16,2026-09-23,trucking authority packages,authority-dot-setup.html,0,3,0,68.3
7qp,2026-09-16,2026-09-23,usdot and mc number setup,authority-dot-setup.html,0,3,0,32
7qp,2026-09-16,2026-09-23,boc 3 registration,boc3-ucr.html,0,1,0,88
7qp,2026-09-16,2026-09-23,load dispatch,new-authority-dispatch.html,0,1,0,42
7qp,2026-09-16,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
7qp,2026-09-16,2026-09-23,trucking authority package,authority-dot-setup.html,0,1,0,63
90p,2026-06-25,2026-09-23,,authority-dot-setup.html,0,178,0,56.5
90p,2026-06-25,2026-09-23,,boc3-ucr.html,0,132,0,42.6
90p,2026-06-25,2026-09-23,,new-authority-dispatch.html,0,104,0,17.1
90p,2026-06-25,2026-09-23,,how-to-get-loads-with-new-authority.html,0,72,0,33.9
90p,2026-06-25,2026-09-23,,us-truck-dispatcher.html,0,37,0,20.9
90p,2026-06-25,2026-09-23,,new-authority-dispatch,0,12,0,2.7
90p,2026-06-25,2026-09-23,,boc3-ucr,0,11,0,49.9
90p,2026-06-25,2026-09-23,,do-new-authority-carriers-need-a-dispatcher,0,11,0,7
90p,2026-06-25,2026-09-23,,authority-dot-setup,0,10,0,37.4
90p,2026-06-25,2026-09-23,,do-new-authority-carriers-need-a-dispatcher.html,0,9,0,7
90qp,2026-06-25,2026-09-23,interstate authority packages,authority-dot-setup.html,0,20,0,86.8
90qp,2026-06-25,2026-09-23,how to get loads with new authority,how-to-get-loads-with-new-authority.html,0,14,0,39.1
90qp,2026-06-25,2026-09-23,boc-3 $25,boc3-ucr.html,0,9,0,87.3
90qp,2026-06-25,2026-09-23,boc 3 $25,boc3-ucr.html,0,5,0,86.8
90qp,2026-06-25,2026-09-23,boc 3 cost,boc3-ucr.html,0,5,0,90.6
90qp,2026-06-25,2026-09-23,boc 3 registration,boc3-ucr.html,0,5,0,92.2
90qp,2026-06-25,2026-09-23,dispatch service cost,us-truck-dispatcher.html,0,4,0,93.5
90qp,2026-06-25,2026-09-23,intrastate authority packages,authority-dot-setup.html,0,4,0,82.2
90qp,2026-06-25,2026-09-23,load boards for new authority,how-to-get-loads-with-new-authority.html,0,4,0,61.5
90qp,2026-06-25,2026-09-23,low boy dispatch services,new-authority-dispatch.html,0,4,0,93.5
90qp,2026-06-25,2026-09-23,brokers who work with new authority,how-to-get-loads-with-new-authority.html,0,3,0,49.3
90qp,2026-06-25,2026-09-23,how to get loads with new authority,new-authority-dispatch.html,0,3,0,78
90qp,2026-06-25,2026-09-23,loadboot,new-authority-dispatch,0,3,0,1
90qp,2026-06-25,2026-09-23,boc 3 cost,boc3-ucr,0,2,0,91.5
90qp,2026-06-25,2026-09-23,boc 3 filing cost,boc3-ucr.html,0,2,0,90
90qp,2026-06-25,2026-09-23,dispatch services for new authority,new-authority-dispatch.html,0,2,0,69.5
90qp,2026-06-25,2026-09-23,how to get loads from brokers,how-to-get-loads-with-new-authority.html,0,2,0,56
90qp,2026-06-25,2026-09-23,1 hour authority,authority-dot-setup.html,0,1,0,51
90qp,2026-06-25,2026-09-23,boc 3 and ucr filing,boc3-ucr.html,0,1,0,80
90qp,2026-06-25,2026-09-23,boc 3 filing,boc3-ucr.html,0,1,0,64
90qp,2026-06-25,2026-09-23,boc 3 filing cost,boc3-ucr,0,1,0,91
90qp,2026-06-25,2026-09-23,boc 3 online,boc3-ucr.html,0,1,0,77
90qp,2026-06-25,2026-09-23,boc process agent,boc3-ucr.html,0,1,0,76
90qp,2026-06-25,2026-09-23,boc-3 $25,boc3-ucr,0,1,0,85
90qp,2026-06-25,2026-09-23,boc-3 agent,boc3-ucr.html,0,1,0,98
90qp,2026-06-25,2026-09-23,boc-3 filing,boc3-ucr.html,0,1,0,68
90qp,2026-06-25,2026-09-23,boc-3 registration,boc3-ucr,0,1,0,89
90qp,2026-06-25,2026-09-23,boc-3 registration,boc3-ucr.html,0,1,0,93
90qp,2026-06-25,2026-09-23,brokers that work with new authority,how-to-get-loads-with-new-authority.html,0,1,0,67
90qp,2026-06-25,2026-09-23,file boc 3 online,boc3-ucr.html,0,1,0,97
90qp,2026-06-25,2026-09-23,how often do you file boc-3,boc3-ucr.html,0,1,0,96
90qp,2026-06-25,2026-09-23,load dispatch,new-authority-dispatch.html,0,1,0,42
90qp,2026-06-25,2026-09-23,new authority carriers,how-to-get-loads-with-new-authority.html,0,1,0,8
90qp,2026-06-25,2026-09-23,quickbooks,us-truck-dispatcher.html,0,1,0,7
