pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,owner-operator-dispatch.html,2,73,0.0274,29.2
28p,2026-08-26,2026-09-23,,owner-operator-dispatch,0,6,0,2.2
7p,2026-09-16,2026-09-23,,owner-operator-dispatch.html,1,8,0.125,3.2
90p,2026-06-25,2026-09-23,,owner-operator-dispatch.html,2,181,0.011,38.5
90p,2026-06-25,2026-09-23,,owner-operator-dispatch,0,13,0,2.5
28q,2026-08-26,2026-09-23,owner operator dispatch services,owner-operator-dispatch.html,0,31,0,44.9
28q,2026-08-26,2026-09-23,owner operator dispatch service,owner-operator-dispatch.html,0,5,0,35.4
28q,2026-08-26,2026-09-23,owner-operator dispatch,owner-operator-dispatch.html,0,4,0,43.5
28q,2026-08-26,2026-09-23,owner operator dispatch,owner-operator-dispatch.html,0,3,0,46.7
28q,2026-08-26,2026-09-23,loadboot,owner-operator-dispatch,0,2,0,1
28q,2026-08-26,2026-09-23,operator dispatch,owner-operator-dispatch.html,0,1,0,37
90q,2026-06-25,2026-09-23,owner operator dispatch services,owner-operator-dispatch.html,0,77,0,52.2
90q,2026-06-25,2026-09-23,owner-operator dispatch,owner-operator-dispatch.html,0,13,0,48.5
90q,2026-06-25,2026-09-23,owner operator dispatch service,owner-operator-dispatch.html,0,10,0,48.9
90q,2026-06-25,2026-09-23,owner operator dispatch,owner-operator-dispatch.html,0,8,0,48.1
90q,2026-06-25,2026-09-23,loadboot,owner-operator-dispatch,0,3,0,1
90q,2026-06-25,2026-09-23,how to find owner operators to dispatch,owner-operator-dispatch.html,0,2,0,78
90q,2026-06-25,2026-09-23,dispatch companies for owner operators,owner-operator-dispatch.html,0,1,0,93
90q,2026-06-25,2026-09-23,dispatching services for owner operators,owner-operator-dispatch.html,0,1,0,69
90q,2026-06-25,2026-09-23,how to dispatch your own loads,owner-operator-dispatch.html,0,1,0,62
90q,2026-06-25,2026-09-23,operator dispatch,owner-operator-dispatch.html,0,1,0,37
90q,2026-06-25,2026-09-23,owner operator book your own loads,owner-operator-dispatch.html,0,1,0,61
90q,2026-06-25,2026-09-23,owner operators looking for dispatchers,owner-operator-dispatch.html,0,1,0,67
