pull,start,end,query,page,clicks,impressions,ctr,position
28p,2026-08-26,2026-09-23,,power-only-dispatch.html,0,115,0,70.3
7p,2026-09-16,2026-09-23,,power-only-dispatch.html,0,23,0,66.6
90p,2026-06-25,2026-09-23,,power-only-dispatch.html,0,237,0,71.7
28qp,2026-08-26,2026-09-23,power only,market-rates.html,0,1,0,2
28qp,2026-08-26,2026-09-23,power only,power-only-freight-rates.html,0,2,0,4.5
28qp,2026-08-26,2026-09-23,power only dispatch,power-only-dispatch.html,0,10,0,80.2
28qp,2026-08-26,2026-09-23,power only dispatch in usa,power-only-dispatch.html,0,9,0,52
28qp,2026-08-26,2026-09-23,power only dispatch service,power-only-dispatch.html,0,15,0,75.5
28qp,2026-08-26,2026-09-23,power only dispatch services,power-only-dispatch.html,0,42,0,77.7
28qp,2026-08-26,2026-09-23,power only dispatcher,power-only-dispatch.html,0,8,0,62.9
28qp,2026-08-26,2026-09-23,power only freight rates,market-rates.html,0,2,0,40
28qp,2026-08-26,2026-09-23,power only freight rates,power-only-freight-rates.html,0,1,0,29
28qp,2026-08-26,2026-09-23,power only price in usa,power-only-freight-rates.html,0,2,0,3
28qp,2026-08-26,2026-09-23,power only rates per mile,power-only-freight-rates.html,0,13,0,5.8
28qp,2026-08-26,2026-09-23,power only truck price in usa,power-only-freight-rates.html,0,3,0,6
28qp,2026-08-26,2026-09-23,power only trucking rates,market-rates.html,0,21,0,36.6
28qp,2026-08-26,2026-09-23,power only trucking rates,power-only-freight-rates.html,0,10,0,34.2
28qp,2026-08-26,2026-09-23,power only units dispatch services,power-only-dispatch.html,0,6,0,80.8
7qp,2026-09-16,2026-09-23,power only,power-only-freight-rates.html,0,1,0,2
7qp,2026-09-16,2026-09-23,power only dispatch,power-only-dispatch.html,0,2,0,80.5
7qp,2026-09-16,2026-09-23,power only dispatch service,power-only-dispatch.html,0,3,0,75.7
7qp,2026-09-16,2026-09-23,power only dispatch services,power-only-dispatch.html,0,9,0,77
7qp,2026-09-16,2026-09-23,power only dispatcher,power-only-dispatch.html,0,1,0,76
7qp,2026-09-16,2026-09-23,power only freight rates,market-rates.html,0,1,0,54
7qp,2026-09-16,2026-09-23,power only freight rates,power-only-freight-rates.html,0,1,0,29
7qp,2026-09-16,2026-09-23,power only price in usa,power-only-freight-rates.html,0,2,0,3
7qp,2026-09-16,2026-09-23,power only rates per mile,power-only-freight-rates.html,0,9,0,6.6
7qp,2026-09-16,2026-09-23,power only trucking rates,power-only-freight-rates.html,0,2,0,28
7qp,2026-09-16,2026-09-23,power only units dispatch services,power-only-dispatch.html,0,1,0,82
