window,range,page,clicks,impressions,ctr,position
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/do-new-authority-carriers-need-a-dispatcher.html,0,6,0,6.8
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/local-truck-dispatch.html,0,23,0,15.3
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/otr-dispatch.html,0,30,0,6.9
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/regional-truck-dispatch.html,0,8,0,14
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-california.html,0,5,0,16
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-georgia.html,0,2,0,7
28d,"{""startDate"": ""2026-08-26"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-texas.html,0,2,0,7
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/do-new-authority-carriers-need-a-dispatcher,0,11,0,7
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/do-new-authority-carriers-need-a-dispatcher.html,0,9,0,7
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/local-truck-dispatch.html,0,23,0,15.3
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/otr-dispatch.html,0,30,0,6.9
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/regional-truck-dispatch.html,0,8,0,14
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-california,0,14,0,13.9
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-california.html,0,12,0,32.2
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-georgia,0,3,0,6
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-georgia.html,0,2,0,7
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-texas,0,2,0,15
90d,"{""startDate"": ""2026-06-25"", ""endDate"": ""2026-09-23""}",https://loadboot.com/truck-dispatcher-in-texas.html,0,3,0,11
