window,dimension,query,page,clicks,impressions,ctr_pct,position
2026-08-26..09-23,page,,https://loadboot.com/market-rates.html,15,4041,0.37,21.4
2026-08-26..09-23,page,,https://loadboot.com/hotshot-freight-rates.html,7,769,0.91,8.7
2026-08-26..09-23,page,,https://loadboot.com/hotshot-rates-week-31-2026.html,0,71,0,8.9
2026-09-16..09-23,page,,https://loadboot.com/market-rates.html,3,931,0.32,21.2
2026-09-16..09-23,page,,https://loadboot.com/hotshot-freight-rates.html,2,286,0.7,7.9
2026-09-16..09-23,page,,https://loadboot.com/hotshot-rates-week-31-2026.html,0,19,0,8.1
2026-08-26..09-23,"query,page",hotshot rates per mile 2026,https://loadboot.com/hotshot-rates-week-31-2026.html,0,29,0,8.5
2026-08-26..09-23,"query,page",hotshot rates per mile 2026,https://loadboot.com/hotshot-freight-rates.html,0,27,0,6.9
2026-08-26..09-23,"query,page",freight rescue hotshot service,https://loadboot.com/hotshot-freight-rates.html,0,5,0,35.2
2026-08-26..09-23,"query,page",hot shot freight rates,https://loadboot.com/hotshot-freight-rates.html,0,5,0,14.8
2026-08-26..09-23,"query,page",hotshot rates per mile 2026,https://loadboot.com/market-rates.html,0,4,0,7
2026-08-26..09-23,"query,page",hot shot cost,https://loadboot.com/hotshot-freight-rates.html,0,3,0,45.7
2026-08-26..09-23,"query,page",hot shot pay per mile,https://loadboot.com/hotshot-freight-rates.html,0,2,0,31.5
2026-08-26..09-23,"query,page",hot shot rate calculator,https://loadboot.com/hotshot-freight-rates.html,0,2,0,25.5
2026-08-26..09-23,"query,page",hot shot rate sheet,https://loadboot.com/hotshot-freight-rates.html,0,2,0,53
2026-08-26..09-23,"query,page",hotshot freight rates,https://loadboot.com/market-rates.html,0,2,0,44
2026-08-26..09-23,"query,page",hotshot prices,https://loadboot.com/hotshot-freight-rates.html,0,2,0,29.5
2026-08-26..09-23,"query,page",hotshot rates,https://loadboot.com/hotshot-freight-rates.html,0,2,0,36.5
2026-08-26..09-23,"query,page",hotshot trucking in north dakota rates,https://loadboot.com/hotshot-freight-rates.html,0,2,0,46
